Fabric,Biodegradable,Recyclable,Monthly_Waste_kg,Annual_Trend,Disposal Method,Recycling Efficiency (%)
Cotton,Yes,Yes,500,5,Composting,85
Polyester,No,Yes,700,-3,Mechanical Recycling,60
Silk,Yes,Yes,350,2,Composting,90
Linen,Yes,Yes,450,4,Composting,80
Wool,Yes,Yes,480,3,Composting,75
Denim,No,Yes,620,-2,Mechanical Recycling,65
Rayon,Yes,Yes,400,2,Chemical Recycling,70
Velvet,No,Yes,300,1,Incineration,30
Chiffon,No,Yes,250,0,Incineration,40
Satin,No,Yes,280,-1,Incineration,35
Hemp,Yes,Yes,400,6,Composting,88
Jute,Yes,Yes,350,5,Composting,92
Ramie,Yes,Yes,250,4,Composting,87
Bamboo Fabric,Yes,Yes,500,7,Composting,86
Modal,Yes,Yes,450,6,Chemical Recycling,75
Tencel,Yes,Yes,300,5,Chemical Recycling,78
Cashmere,Yes,Yes,200,8,Composting,83
Mohair,Yes,Yes,180,7,Composting,80
Alpaca,Yes,Yes,220,6,Composting,82
Angora,Yes,Yes,150,9,Composting,85
Lace,No,Yes,280,2,Incineration,50
Organza,No,Yes,320,3,Incineration,45
Tweed,No,Yes,600,-1,Mechanical Recycling,60
Gabardine,No,Yes,500,-2,Mechanical Recycling,62
Georgette,No,Yes,350,1,Incineration,40
Taffeta,No,Yes,370,0,Incineration,38
Canvas,No,Yes,750,-4,Mechanical Recycling,67
Tulle,No,Yes,260,3,Incineration,42
Muslin,Yes,Yes,420,5,Composting,85
Chambray,No,Yes,540,-2,Mechanical Recycling,63
Voile,Yes,Yes,310,4,Composting,82
Seersucker,No,Yes,470,-1,Mechanical Recycling,64
Tartan,No,Yes,580,-3,Mechanical Recycling,66
Brocade,No,Yes,400,2,Mechanical Recycling,55
Crepe,No,Yes,330,1,Incineration,50
Flannel,No,Yes,620,-2,Mechanical Recycling,65
Fleece,No,Yes,680,-3,Mechanical Recycling,60
Microfiber,No,Yes,720,-4,Mechanical Recycling,58
Gauze,Yes,Yes,240,6,Composting,88
Spandex,No,Yes,490,-1,Incineration,45
Neoprene,No,Yes,530,-2,Incineration,35
Lyocell,Yes,Yes,290,5,Chemical Recycling,78
Cupro,No,Yes,430,-1,Chemical Recycling,72
